method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,avg_obj_removed,avg_missing_recovered,avg_missing_candidates,avg_missing_gt,missing_precision,missing_recall,avg_sources_available,primary_role,source_roles,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,disable_v1
EgoOnly,1753,331,17530,0.018881916714204222,0.35881346263548203,0.09811751283513934,0.9811751283513976,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
CleanCoop,1753,51,17530,0.0029092983456930977,0.43867655447803766,0.17079292641186508,1.7079292641186536,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealPrimaryRaw,1753,277,17530,0.015801483171705648,0.3884768967484313,0.12475755847119145,1.2475755847119223,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealPrimaryTrustCalib,1753,277,17530,0.015801483171705648,0.3884768967484313,0.12475755847119145,1.2475755847119223,0.0,1753,0.9475185396463206,0.04677695379349686,0.0,0.005704506560182544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealMultiEvidenceGuard,1753,276,17530,0.015744438106103823,0.4004563605248146,0.12926411865373552,1.2926411865373646,0.0,1753,0.9435253850541928,0.04677695379349686,0.0,0.005704506560182544,0.003993154592127781,0.003993154592127781,1.0992584141471762,1.1135196805476326,10.654877353108956,0.9206019719771665,0.09497804904165329,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
