method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,avg_obj_removed,avg_missing_recovered,avg_missing_candidates,avg_missing_gt,missing_precision,missing_recall,avg_sources_available,primary_role,source_roles,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,disable_v1
EgoOnly,1753,331,17530,0.018881916714204222,0.35881346263548203,0.09811751283513934,0.9811751283513976,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
CleanCoop,1753,51,17530,0.0029092983456930977,0.43867655447803766,0.17079292641186508,1.7079292641186536,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealPrimaryRaw,1753,277,17530,0.015801483171705648,0.3884768967484313,0.12475755847119145,1.2475755847119223,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealPrimaryTrustCalib,1753,277,17530,0.015801483171705648,0.3884768967484313,0.12475755847119145,1.2475755847119223,0.0,1753,0.9475185396463206,0.04677695379349686,0.0,0.005704506560182544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
RealMultiEvidenceGuard,1753,274,17530,0.01563034797490017,0.40216771249286937,0.12977752424415195,1.2977752424415288,0.0,1753,0.9435253850541928,0.04677695379349686,0.0,0.005704506560182544,0.003993154592127781,0.003993154592127781,1.1015402167712494,3.580148317170565,10.654877353108956,0.9207664422578975,0.09519220473284078,4.0,other_vehicle,"other_vehicle,infrastructure,ego_vehicle_behind,other_vehicle_behind",22,22,22,0,True
