scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
12,11,4,accept,accept,0,2,2,8,2,0,0,0,0,0.0,11,0,0,0,0.0,32,0,0,0,0.0,26,0,0,0,0.0,26,0,0,0,0.0,28,0,0
12,12,4,accept,accept,0,3,3,9,3,0,0,0,0,0.0,10,0,0,0,0.0,32,0,0,0,0.0,25,0,0,0,0.0,25,0,0,0,0.0,28,0,0
12,13,4,accept,accept,0,3,3,9,3,0,0,0,0,0.0,10,0,0,0,0.0,32,0,0,0,0.0,25,0,0,0,0.0,25,0,0,0,0.0,28,0,0
12,14,4,accept,accept,0,3,3,10,3,0,0,0,0,0.0,11,0,0,0,0.0,32,0,0,0,0.0,22,0,0,0,0.0,22,0,0,0,0.0,25,0,0
12,15,4,accept,accept,0,3,3,11,3,0,0,0,0,0.0,11,0,0,0,0.0,32,0,0,0,0.0,22,0,0,0,0.0,22,0,0,0,0.0,25,0,0
12,16,4,accept,accept,0,2,2,9,2,0,0,0,0,0.0,10,0,0,0,0.0,32,0,0,0,0.0,24,0,0,0,0.0,24,0,0,0,0.0,26,0,0
12,17,4,accept,accept,0,2,2,9,2,0,0,0,0,0.0,13,0,0,0,0.0,32,0,0,0,0.0,24,0,0,0,0.0,24,0,0,0,0.0,26,0,0
12,18,4,accept,accept,0,5,5,11,5,0,0,1,1,0.1,10,0,1,1,0.1,32,0,1,1,0.1,22,0,1,1,0.1,22,0,1,1,0.1,27,0,0
12,19,4,accept,accept,0,6,6,12,6,0,0,1,1,0.1,11,0,1,1,0.1,32,0,1,1,0.1,21,0,1,1,0.1,21,0,1,1,0.1,27,0,0
14,0,4,accept,accept,0,0,0,9,0,0,0,1,10,1.0,25,0,1,10,1.0,38,0,1,10,1.0,29,0,1,10,1.0,29,0,1,10,1.0,29,0,0
14,1,4,accept,accept,0,0,0,9,0,0,0,0,0,0.0,25,0,0,0,0.0,38,0,0,0,0.0,28,0,0,0,0.0,28,0,0,0,0.0,28,0,0
14,2,4,accept,accept,0,0,0,9,0,0,0,0,0,0.0,25,0,0,0,0.0,38,0,0,0,0.0,28,0,0,0,0.0,28,0,0,0,0.0,28,0,0
14,3,4,accept,accept,0,0,0,9,0,0,0,1,2,0.2,25,0,1,2,0.2,38,0,1,2,0.2,29,0,1,2,0.2,29,0,1,2,0.2,29,0,0
14,4,4,accept,accept,0,1,1,11,1,0,0,1,2,0.2,25,0,1,2,0.2,39,0,1,2,0.2,28,0,1,2,0.2,28,0,1,2,0.2,29,0,0
