scenario,method,runs,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,OverlapRate,OverlapN
BS1_blind,Innov-NONE,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.00045454545454545455,0.2863636363636364,0.0,0
BS1_blind,Innov-V,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.00045454545454545455,0.2863636363636364,0.0,0
BS1_blind,Innov-D,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.00045454545454545455,0.10454545454545454,0.0,0
BS1_blind,Innov-M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind,Innov-H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.0,0.2863636363636364,0.0,0
BS1_blind,Innov-V+D,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.00045454545454545455,0.10454545454545454,0.0,0
BS1_blind,Innov-V+M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind,Innov-V+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.1989795918367347,0.0,0.2863636363636364,0.0,0
BS1_blind,Innov-D+M,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.11363636363636363,0.0,0
BS1_blind,Innov-D+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.10454545454545454,0.0,0
BS1_blind,Innov-M+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.19487179487179487,0.0,0.2863636363636364,0.0,0
BS1_blind,Innov-V+D+M+H,1,0.0,0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.11363636363636363,0.0,0
BS1_nonblind,Innov-NONE,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.014150943396226415,0.00045454545454545455,0.05,0.0,0
BS1_nonblind,Innov-V,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.009433962264150943,0.00045454545454545455,0.045454545454545456,0.0,0
BS1_nonblind,Innov-D,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.03636363636363636,0.0,0
BS1_nonblind,Innov-M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind,Innov-H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.03755868544600939,0.0,0.06818181818181818,0.0,0
BS1_nonblind,Innov-V+D,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.03636363636363636,0.0,0
BS1_nonblind,Innov-V+M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind,Innov-V+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.03755868544600939,0.0,0.06818181818181818,0.0,0
BS1_nonblind,Innov-D+M,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.00045454545454545455,0.06818181818181818,0.0,0
BS1_nonblind,Innov-D+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0330188679245283,0.0,0.06818181818181818,0.0,0
BS1_nonblind,Innov-M+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.06818181818181818,0.0,0
BS1_nonblind,Innov-V+D+M+H,1,0.0,0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.06818181818181818,0.0,0
