mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
stale,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale,clean+shift,PrimaryRaw,330,30,3300,0.00909090909090909,0.7545454545454545,0.2596969696969699,2.596969696969697,0.3582994907642856,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale,clean+shift,PrimaryTrustCalib,330,20,3300,0.006060606060606061,0.7424242424242424,0.24515151515151526,2.4515151515151516,0.35704070645751373,330,0.0,0.015151515151515152,0.9848484848484849,0.0,0.0,0.0,0.0,-0.006010479994448234,-0.0133616951174813,0.9848484848484849,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35674904517152095,330,0.0,0.012121212121212121,0.9848484848484849,0.0,0.0,0.0030303030303030303,0.0,-0.006010479994448234,-0.0133616951174813,0.9848484848484849,0.0030303030303030303,0,0,0.0,1,0.0030303030303030303,1.9901215805471124,0.0,1.9901215805471124,0.0,0.002668299664639979,0.0,1.1125117843981673,0.0,0.07575757575757576,0.05757575757575758,0.07575757575757576,19,0,1.0,0.76,0.76,0.06666666666666667,2.0470619787515143,22,22,22,20,accident,True,True,True,False
drop,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
drop,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
drop,clean+shift,PrimaryRaw,330,49,3300,0.014848484848484849,0.6787878787878788,0.19696969696969724,1.9696969696969697,0.3583168246755094,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
drop,clean+shift,PrimaryTrustCalib,330,49,3300,0.014848484848484849,0.6787878787878788,0.19696969696969724,1.9696969696969697,0.3583168246755094,330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
drop,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7393939393939394,0.24545454545454554,2.4545454545454546,0.3627492785002246,330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0,0.0,3.3970416762497323e-29,0.0,1.118033988749893,0.0,10.872727272727273,10.593939393939394,10.872727272727273,3496,0,1.0,0.9743589743589743,0.9743589743589743,0.0,0.0,22,22,22,20,accident,True,True,True,False
fake_front,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
fake_front,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
fake_front,clean+shift,PrimaryRaw,330,95,3300,0.02878787878787879,1.0,0.922121212121212,9.22121212121212,0.35559812666791857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
fake_front,clean+shift,PrimaryTrustCalib,330,95,3300,0.02878787878787879,1.0,0.922121212121212,9.22121212121212,0.35559812666791857,330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
fake_front,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.357318650366682,330,0.00909090909090909,0.0,0.0,0.0,0.0,0.990909090909091,0.0,0.0,0.0,0.0,0.990909090909091,330,327,0.990909090909091,0,0.0,2.0,0.01818181818181818,2.0,0.01818181818181818,3.468883167903789e-29,0.007708503062080488,1.1180339887498953,0.010163945352271771,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.00909090909090909,1.4216673205330814,22,22,22,20,accident,True,True,True,False
shift+drop,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift+drop,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift+drop,clean+shift,PrimaryRaw,330,57,3300,0.017272727272727273,0.6787878787878788,0.19939393939393965,1.993939393939394,0.358825431944746,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift+drop,clean+shift,PrimaryTrustCalib,330,49,3300,0.014848484848484849,0.6787878787878788,0.19696969696969724,1.9696969696969697,0.3583168246755094,330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
shift+drop,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7393939393939394,0.24545454545454554,2.4545454545454546,0.3627492785002246,330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,2.0,0.0,3.3970416762497323e-29,0.0,1.118033988749893,0.0,10.872727272727273,10.593939393939394,10.872727272727273,3496,0,1.0,0.9743589743589743,0.9743589743589743,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale+drop,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale+drop,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale+drop,clean+shift,PrimaryRaw,330,53,3300,0.01606060606060606,0.6909090909090909,0.2003030303030306,2.003030303030303,0.3582017940102202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale+drop,clean+shift,PrimaryTrustCalib,330,49,3300,0.014848484848484849,0.6787878787878788,0.19666666666666693,1.9666666666666666,0.3577249236404896,330,0.0,0.015151515151515152,0.9848484848484849,0.0,0.0,0.0,0.0,-0.006010479994448234,-0.0133616951174813,0.9848484848484849,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
stale+drop,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7393939393939394,0.24545454545454554,2.4545454545454546,0.36267209323969757,330,0.0,0.012121212121212121,0.9848484848484849,0.0,0.0,0.0030303030303030303,0.0,-0.006010479994448234,-0.0133616951174813,0.9848484848484849,0.0030303030303030303,0,0,0.0,1,0.0030303030303030303,1.9910998092816274,0.0,1.9910998092816274,0.0,0.002042695884625714,0.0,1.1130586308851445,0.0,10.893939393939394,10.615151515151515,10.893939393939394,3503,0,1.0,0.9744089012517385,0.9744089012517385,0.00909090909090909,1.7387479220488515,22,22,22,20,accident,True,True,True,False
noise+fake_front,clean+shift,EgoOnly,330,69,3300,0.02090909090909091,0.6515151515151515,0.16696969696969716,1.6696969696969697,0.364379891459689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
noise+fake_front,clean+shift,CleanCoop,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.35731907789454315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
noise+fake_front,clean+shift,PrimaryRaw,330,74,3300,0.022424242424242423,1.0,0.9227272727272725,9.227272727272727,0.35578350255435165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
noise+fake_front,clean+shift,PrimaryTrustCalib,330,133,3300,0.040303030303030306,0.9212121212121213,0.7775757575757577,7.775757575757575,0.35542943211215916,330,0.0,0.015151515151515152,0.0,0.806060606060606,0.1787878787878788,0.0,0.0,-0.011999688589847991,0.03737919258791932,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22,22,22,20,accident,True,True,True,False
noise+fake_front,clean+shift,MultiPeerObjectGuard,330,20,3300,0.006060606060606061,0.7424242424242424,0.24545454545454554,2.4545454545454546,0.3571416322706324,330,0.0,0.0,0.0,0.012121212121212121,0.1787878787878788,0.8090909090909091,0.0,-0.011999688589847991,0.03737919258791932,0.0,0.8151515151515152,271,267,0.985239852398524,1,0.0030303030303030303,1.48550391164289,0.02952029520295203,1.48550391164289,0.02952029520295203,0.6146263053012471,0.019093523851802154,0.8304219318188358,0.01650234669741542,6.039393939393939,3.8545454545454545,6.039393939393939,1272,0,1.0,0.638233818364275,0.638233818364275,11.94848484848485,1.7567043367031372,22,22,22,20,accident,True,True,True,False
