scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS2_nonblind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,25,0,-1,0,,-1,0,0,0.0,0,2200,39,220
BS3_blind_stress,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_stress,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_stress,RSS-coop,49,1,22,1,attacker_rear+ego,22,1,11,13.49968896,6,2200,56,220
BS3_blind_stress,UniE2EV2X-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_stress,MAP-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_stress,RiskMM-coop,49,1,20,1,attacker_rear+ego,20,1,11,13.4736328125,6,2200,83,220
BS3_blind_stress,Hybrid-thr0.30,49,1,19,1,attacker_rear+ego,19,1,11,13.499999595,0,2200,57,220
BS3_blind_stress,Hybrid+AND-thr0.30,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_blind_stress,Hybrid+AND+TTC-thr0.30,49,1,35,1,attacker_rear+ego,35,1,27,13.499999865,0,2200,36,220
BS3_blind_stress,Hybrid+AND+TTC+RearAware-thr0.30,49,1,35,1,attacker_rear+ego,35,1,27,13.388821695,0,2200,35,220
BS3_blind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,49,1,46,1,attacker_rear+ego,46,2,27,11.6033472,0,2200,26,220
BS3_blind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,0,,-1,0,26,0.0,0,2200,40,220
BS3_nonblind_stress,NoCon-egoonly,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_stress,NoCon-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_stress,RSS-coop,49,1,22,1,attacker_rear+ego,22,1,11,13.49968896,6,2200,25,220
BS3_nonblind_stress,UniE2EV2X-coop,49,1,48,1,attacker_rear+ego,48,1,39,13.4736328125,1,2200,13,220
BS3_nonblind_stress,MAP-coop,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_stress,RiskMM-coop,49,1,20,1,attacker_rear+ego,20,1,11,13.4736328125,6,2200,26,220
BS3_nonblind_stress,Hybrid-thr0.30,49,1,19,1,attacker_rear+ego,19,1,11,13.499999595,0,2200,23,220
BS3_nonblind_stress,Hybrid+AND-thr0.30,49,1,49,1,attacker+ego,45,1,-1,2.0,0,870,0,87
BS3_nonblind_stress,Hybrid+AND+TTC-thr0.30,49,1,30,1,attacker_rear+ego,30,1,22,13.499999595,0,2200,12,220
BS3_nonblind_stress,Hybrid+AND+TTC+RearAware-thr0.30,49,1,32,1,attacker_rear+ego,32,1,22,12.8193165,0,2200,14,220
BS3_nonblind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,49,1,46,1,attacker_rear+ego,46,2,22,10.536480000000001,0,2200,26,220
BS3_nonblind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,0,,-1,0,22,0.0,0,2200,13,220
BS4_blind_stress,NoCon-egoonly,50,1,50,1,attacker+ego;attacker_rear+ego,48,2,-1,1.1444300428971177,40,960,0,96
BS4_blind_stress,NoCon-coop,50,1,50,1,attacker+ego;attacker_rear+ego,48,2,-1,1.1444300428971177,40,960,0,96
BS4_blind_stress,RSS-coop,50,1,22,1,attacker_rear+ego,22,1,11,13.49968896,7,2200,69,220
BS4_blind_stress,UniE2EV2X-coop,50,1,46,1,attacker_rear+ego,46,1,37,11.8125,0,2200,8,220
BS4_blind_stress,MAP-coop,50,1,55,1,attacker_rear+ego,55,1,45,13.2890625,0,2200,8,220
BS4_blind_stress,RiskMM-coop,50,1,20,1,attacker_rear+ego,20,1,11,13.4736328125,6,2200,83,220
BS4_blind_stress,Hybrid-thr0.30,50,1,19,1,attacker_rear+ego,19,1,11,13.499999595,0,2200,68,220
BS4_blind_stress,Hybrid+AND-thr0.30,50,1,53,1,attacker_rear+ego,53,1,45,13.4865,0,2200,5,220
BS4_blind_stress,Hybrid+AND+TTC-thr0.30,50,1,34,1,attacker_rear+ego,34,1,26,13.49999595,0,2200,39,220
BS4_blind_stress,Hybrid+AND+TTC+RearAware-thr0.30,50,1,36,1,attacker_rear+ego,36,1,26,12.110850000000001,0,2200,41,220
BS4_blind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,50,1,38,1,attacker_rear+ego,38,1,26,8.8695,0,2200,37,220
BS4_blind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,50,1,36,1,attacker_rear+ego,36,1,26,12.5289137664,0,2200,34,220
BS4_nonblind_stress,NoCon-egoonly,50,1,50,1,attacker+ego;attacker_rear+ego,48,2,-1,1.1444300428971177,40,960,0,96
BS4_nonblind_stress,NoCon-coop,50,1,50,1,attacker+ego;attacker_rear+ego,48,2,-1,1.1444300428971177,40,960,0,96
BS4_nonblind_stress,RSS-coop,50,1,22,1,attacker_rear+ego,22,1,11,13.49968896,7,2200,26,220
BS4_nonblind_stress,UniE2EV2X-coop,50,1,46,1,attacker_rear+ego,46,1,37,13.4736328125,1,2200,13,220
BS4_nonblind_stress,MAP-coop,50,1,54,1,attacker_rear+ego,54,1,45,13.4736328125,0,2200,11,220
BS4_nonblind_stress,RiskMM-coop,50,1,20,1,attacker_rear+ego,20,1,11,13.4736328125,6,2200,25,220
BS4_nonblind_stress,Hybrid-thr0.30,50,1,19,1,attacker_rear+ego,19,1,11,13.499999595,0,2200,20,220
BS4_nonblind_stress,Hybrid+AND-thr0.30,50,1,53,1,attacker_rear+ego,53,1,45,13.499999865,0,2200,10,220
BS4_nonblind_stress,Hybrid+AND+TTC-thr0.30,50,1,30,1,attacker_rear+ego,30,1,22,13.499999595,0,2200,12,220
BS4_nonblind_stress,Hybrid+AND+TTC+RearAware-thr0.30,50,1,33,1,attacker_rear+ego,33,1,22,11.515500000000001,0,2200,14,220
BS4_nonblind_stress,Hybrid+AND+TTC+MinHarm-thr0.30,50,1,37,1,attacker_rear+ego,37,1,22,6.885000000000001,0,2200,22,220
BS4_nonblind_stress,Hybrid+AND+TTC+RearEscape-thr0.30,50,1,33,1,attacker_rear+ego,33,1,22,12.61214972928,0,2200,15,220
